METAL,COUNTRY,STANDARD SMELTER NAME,KEY TERM 1,KEY TERM 2,KEY TERM 3,KEY TERM 4,V2 Smelter ID,V3 Smelter ID, , 
Tungsten,CHINA,"Malipo Haiyu Tungsten Co., Ltd.",Malipo,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,,4CHN029,CID002319,,
Tungsten,CHINA,"Xiamen Tungsten (H.C.) Co., Ltd.", ,,,,4CHN028,CID002320,,
Tungsten,CHINA,"Xiamen Tungsten Co., Ltd",Xiamen,,,,4CHN014,CID002082,,
Tungsten,CHINA,"Xinhai Rendan Shaoguan Tungsten Co., Ltd.",Xinhai,,,,4CHN025,CID002095,,
Tungsten,CHINA,Zhuzhou Cemented Carbide Group Co Ltd, ,,,,4CHN015,CID002236,,
Tungsten,GERMANY,HC Starck GmbH,,,,,4DEU008,CID000683,,
Tungsten,JAPAN,A.L.M.T. Corp.,A.L.M.T.,,,,4JPN020,CID000004,,
Tungsten,JAPAN,Japan New Metals Co Ltd, ,,,,4JPN017,CID000825,,
Tungsten,RUSSIAN FEDERATION,Wolfram Company CJSC,  ,,,,4RUS013,CID002047,,
Tungsten,UNITED STATES,Global Tungsten & Powders Corp.,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,,,,4USA007,CID000568,,
Tungsten,UNITED STATES,Kennametal Fallon,Fallon,,,,4USA026,CID000966,,
Tungsten,UNITED STATES,Kennametal Huntsville,           ,,,,4USA001,CID000105,,
Tungsten,VIET NAM,"Tejing (Vietnam) Tungsten Co., Ltd.",Tejing,,,,4VNM019,CID001889,,
,,,,,,,,,,
,,,                   ,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,                   ,,,
